Id,Acquisition Campaign_0,Acquisition Campaign_1,Acquisition Campaign_2,Acquisition Campaign_3,Acquisition Campaign_4,Acquisition Campaign_5,Converted,City_0,City_1,City_2,City_3,City_4,Use Case_Concerts and festivals,Use Case_Corporate Events,Use Case_Educational Seminars,Use Case_Not_Specified,Use Case_Sports Events,Use Case_Wedding Planning,Source_Inbound,Source_Not_Specified,Source_Outbound,month,day,Status,Price,Days,Discount,Pain_Not_Specified,Pain_financial control,Pain_operations,Pain_quality of delivery,Pain_time saving
bggh1dpr,0,0,0,0,0,1,True,0,0,1,1,1,0,1,0,0,0,0,1,0,0,2,1,Closed Lost,18150,9,False,0,0,1,0,0
2ag480cn,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Won,600,0,True,0,0,1,0,0
0jqeeaft,0,0,0,0,0,1,True,0,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Won,768,0,False,0,0,1,0,0
x2n2xqmf,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,22,Closed Won,240,0,False,0,0,1,0,0
8krmaolp,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,22,Closed Lost,360,26,False,0,0,1,0,0
ve450tt8,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,Closed Won,600,0,False,0,0,1,0,0
n4i88r8f,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,200,0,True,0,0,1,0,0
gbedaamz,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,Closed Lost,576,31,False,1,0,0,0,0
zajosj9w,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,240,-230,False,0,0,1,0,0
gtytuxap,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,28,Closed Won,240,31,False,0,0,1,0,0
gnhul3n3,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,22,Closed Won,960,0,False,0,0,1,0,0
rjelqdxo,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,22,Closed Won,960,1,False,0,0,1,0,0
wy9ssh78,0,0,0,0,0,1,True,1,0,1,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Lost,200,0,True,0,0,0,1,0
ru5n8erw,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,6,28,Closed Lost,2,0,True,0,0,1,0,0
kj42iikl,0,0,0,0,0,1,True,0,0,1,0,0,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,768,97,False,0,0,1,0,0
2whs7l2n,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3,1,Closed Lost,768,41,True,0,0,0,1,0
mqtu98e3,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,6,28,Closed Won,360,0,False,0,0,1,0,0
l3qr5pv7,0,0,0,0,0,1,True,1,0,0,1,1,0,0,0,0,1,0,1,0,0,10,22,Closed Won,120,0,False,0,0,1,0,0
bj39plsm,0,0,0,0,0,1,True,0,1,0,0,1,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,200,44,True,0,0,1,0,0
zh8novw2,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10,22,Closed Won,300,0,False,0,0,1,0,0
xaf8lusr,0,0,0,0,0,1,True,0,0,1,1,0,0,0,0,0,1,0,1,0,0,7,29,Closed Lost,960,7,True,0,0,0,1,0
ucs7tgul,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,1,0,0,1,0,0,10,22,Closed Lost,200,258,True,0,0,1,0,0
wblsgxbj,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,200,0,True,0,1,0,0,0
v22mh2tv,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Won,768,0,False,0,0,1,0,0
ezh8d3md,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,3,1,Closed Won,300,0,False,0,0,1,0,0
xp0w6klj,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,7,29,Closed Won,360,0,False,0,0,1,0,0
3i2pcxzw,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7,29,Closed Won,768,-147,False,0,0,1,0,0
75pce0ra,0,0,0,0,0,1,True,0,1,1,1,1,0,1,0,0,0,0,1,0,0,10,22,Closed Lost,200,57,True,0,1,0,0,0
t02kudrh,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,7,29,Closed Won,768,92,False,0,0,1,0,0
s71w2qby,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Won,14876,-18,False,0,0,1,0,0
aes8nyza,0,0,0,0,0,1,True,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,Closed Lost,450,61,True,0,0,1,0,0
3ogz1piw,0,0,0,0,0,1,True,0,0,0,0,1,0,1,0,0,0,0,1,0,0,10,23,Closed Won,300,28,False,0,0,1,0,0
f4pv2ty4,0,0,0,0,0,1,True,0,1,1,1,1,0,1,0,0,0,0,1,0,0,4,1,Closed Lost,200,92,True,0,0,1,0,0
q8u4gb0f,0,0,0,0,0,1,True,0,0,1,0,0,0,1,0,0,0,0,1,0,0,7,29,Closed Lost,360,-142,True,0,0,1,0,0
yull3z35,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,7,29,Closed Lost,1344,-156,True,0,0,1,0,0
kctgey4m,0,0,0,0,0,1,True,1,0,0,0,0,0,1,0,0,0,0,1,0,0,4,1,Closed Lost,1344,203,True,0,0,1,0,0
ftcoenkz,0,0,0,0,0,1,True,0,0,0,1,1,0,0,0,0,1,0,1,0,0,4,1,Closed Lost,200,0,True,0,0,1,0,0
sn44juit,0,0,0,0,0,1,True,1,0,0,0,1,0,0,0,0,1,0,1,0,0,7,29,Closed Won,360,0,False,0,0,1,0,0
krtk7ze1,0,0,0,0,0,1,True,0,0,0,1,1,0,1,0,0,0,0,1,0,0,10,23,Closed Won,360,0,False,0,0,1,0,0
homcuhil,0,0,0,0,0,1,True,0,1,1,1,1,0,1,0,0,0,0,1,0,0,4,1,Closed Won,360,0,False,0,0,1,0,0
bi10s29x,0,0,0,0,0,1,True,0,0,0,0,1,0,0,0,0,1,0,1,0,0,10,23,Negotiation,960,0,False,1,0,0,0,0
x7q23wb9,0,0,0,0,0,1,True,1,0,0,1,0,0,1,0,0,0,0,1,0,0,4,1,Closed Lost,360,85,True,0,0,1,0,0
xhq3xbhz,0,0,0,0,0,1,True,1,0,1,0,1,0,1,0,0,0,0,1,0,0,10,23,Closed Won,360,155,False,0,0,1,0,0
ruyd8187,0,0,0,0,0,1,True,0,0,1,1,1,0,1,0,0,0,0,1,0,0,10,23,Closed Lost,240,-232,False,0,0,0,1,0
